objectid,filename,title,description,roll_number,format,film_format,film_manufacturer,film_stock_name,film_iso,film_type,photographer,camera,lens_focal_length,flash,orientation,exposure_number,interior_or_exterior,date,location,latitude,longitude,subject,developer,resolution
f-01,Berlin-3.jpg,Scary Tyrion,Underexposed photo of my cat Tyrion,3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,vertical,1,interior,2025-11,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,cat; Tyrion,Reformed Film Lab,2075 x 3130
f-02,Berlin-7.jpg,Ghostly Theatre,Underexposed photo of Riverside Theatre at night,3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,vertical,1,exterior,2025-11,"Iowa City, IA; Pedestrian Mall; Riverside Theatre",41.65882,-91.53381,Riverside Theatre; The Mousetrap,Reformed Film Lab,2075 x 3130
f-03,Berlin-10.jpg,This Book Never Made It Home,Underexposed photo of an Agathat Christie novel forgotten on a counter,3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,horizontal,1,interior,2025-11,"Iowa City, IA; Riverside Theatre; dressing rooms",41.65882,-91.53381,book; counter; The Mousetrap,Reformed Film Lab,3130 x 2075
f-04,Berlin-12.jpg,Stage Manager In Black and White,Underexposed photo of the stage manager for The Mousetrap at Riverside Theatre,3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,vertical,1,interior,2025-11,"Iowa City, IA; Riverside Theatre; dressing rooms",41.65882,-91.53381,friend; coworker; boss; The Mousetrap,Reformed Film Lab,2075 x 3130
f-05,Berlin-15.jpg,Me In Black and White,An almost not underexposed self-portrait of me in my role as assistant stage manager for The Mousetrap at Riverside Theatre,3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,vertical,1,interior,2025-11,"Iowa City, IA; Riverside Theatre; dressing rooms",41.65882,-91.53381,self-portrait; Brody,Reformed Film Lab,2075 x 3130
f-06,Color 2-8.jpg,Month Seven,A self portrait of myself and my apartment at night,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24mm,no,horizontal,1,interior,2026-03,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,self-portrait; cat; Tyrion; Brody; Korra,Reformed Film Lab,3130 x 2075
f-07,Color 2-10.jpg,Group Assignment,A photo from my perspective of two classmates working in the SLIS classroom on the Main Library's third floor,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24mm,no,horizontal,1,interior,2026-02,"Iowa City, IA; UIowa Main Library; SLIS Classroom",41.65921,-91.53864,friend; classmate; SLIS,Reformed Film Lab,3130 x 2075
f-08,Color 2-12.jpg,Classmate In the Window,A photo of a classmate who thought the show outside would look nice on film. The snow is not visible.,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24mm,no,vertical,1,interior,2026-02,"Iowa City, IA; UIowa Main Library; SLIS Classroom",41.65921,-91.53864,classmate; snow; SLIS,Reformed Film Lab,2075 x 3130
f-09,Color 2-13.jpg,Professor On Break,A photo of SLIS Professor Iulian Vamanu during a break,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24mm,no,vertical,1,interior,2026-02,"Iowa City, IA; UIowa Main Library; SLIS Classroom",41.65921,-91.53864,professor; SLIS,Reformed Film Lab,2075 x 3130
f-10,Color 2-18.jpg,Trauma Bonded,A photo of myself with one of the cast members from Riverside Theatre's production of Primary Trust who played Corrina,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Randy Jackson Alvarenga,Nikon N90s,60mm,no,horizontal,1,interior,2026-03,"Iowa City, IA; Riverside Theatre; dressing rooms",41.65882,-91.53381,friend; coworker; Primary Trust,Reformed Film Lab,3130 x 2075
f-11,Color 2-20.jpg,Passed The Vibe Check,A photo of myself with one of the cast members from Riverside Theatre's production of Primary Trust who played Kenneth,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Zafyre Sexton,Nikon N90s,60mm,no,horizontal,1,interior,2026-03,"Iowa City, IA; Riverside Theatre; dressing rooms",41.65882,-91.53381,friend; coworker; Primary Trust,Reformed Film Lab,3130 x 2075
f-12,Color 2-28.jpg,Theatre In A Flurry,A photo of Riverside Theatre in a snow flurry durig the run of Primary Trust,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,60mm,no,vertical,1,exterior,2026-03,"Iowa City, IA; Pedestrian Mall; Riverside Theatre",41.65882,-91.53381,Riverside Theatre; Primary Trust,Reformed Film Lab,2075 x 3130
f-13,Color 2-36.jpg,Adán In A Shelter,A photo of my now boyfriend on a during a date at City Park. He is walking on a bench seat like a tightrope.,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,60mm,no,vertical,1,exterior,2026-03,"Iowa City, IA; City Park",41.67457,-91.53621,boyfriend,Reformed Film Lab,2075 x 3130
f-14,Fuji 400 1-5.jpg,Korra Stuns,A photo of my younger cat Korra on my carpet.,5,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,60mm,no,vertical,1,interior,2026-01,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,cat; Korra,Reformed Film Lab,2075 x 3130
f-15,Fuji 400 1-20.jpg,Children,A double-exposure of my two cats laying in similar poses but in opposite directions,5,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,60mm,no,horizontal,2,interior,2026-01,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,cat; Korra; Tyrion,Reformed Film Lab,3130 x 2075
f-16,Fuji 400 1-25.jpg,Iowa,"A photo of the Old Capitol building's rotunda taken with a telephoto lens from inside my balcony, through my window.",5,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,170-500mm,no,horizontal,1,interior,2026-01,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,Old Capitol Building,Reformed Film Lab,3130 x 2075
f-17,Fuji 400 2-29.jpg,Stage Manager In Red,A photo of the stage manager for The Mousetrap at Riverside Theatre helping me re-learn how to use my caera by posing,2,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24-120mm,no,vertical,1,interior,2025-11,"Iowa City, IA; Riverside Theatre; Lobby",41.65882,-91.53381,friend; coworker; boss; The Mousetrap,Reformed Film Lab,2075 x 3130
f-18,Lomo 92-2.jpg,Final Cast and Crew Night Out,Most of the cast of Riverside Theatre's The Mousetrap after closing night,4,image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,Hannah Green,Nikon N90s,24mm,yes,horizontal,1,interior,2025-12,"Iowa City, IA; George's Buffet",41.6637,-91.53116,friend; coworker; boss; The Mousetrap; Brody,Reformed Film Lab,3130 x 2075
f-19,Lomo 92-14.jpg,Bestie Finally Visits,The only person I knew in the state of Iowa before moving here at a very short meeting before one of The Mousetrap's shows,4,image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,unknown,Nikon N90s,24mm,no,horizontal,1,interior,2025-12,"Iowa City, IA; NODO Downtown",41.66098,-91.53337,friend; Brody,Reformed Film Lab,3130 x 2075
f-20,Lomo 92-16.jpg,Lunch,Four members of the cast of The Mousetrap at NODO during lunch on a tech-week day,4,image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,Brody Butler,Nikon N90s,24mm,yes,horizontal,1,interior,2025-12,"Iowa City, IA; NODO Downtown",41.66098,-91.53337,friend; coworker; The Mousetrap,Reformed Film Lab,3130 x 2075
f-21,Lomo 92-24.jpg,"Library, Underexposed","A photo of UIowa's Main Library taken from across the street at night. The exposure was long, but not long enough.",4,image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,Brody Butler,Nikon N90s,24mm,no,horizontal,1,exterior,2025-12,"Iowa City, IA; UIowa Main Library; W Burlington St",41.65782,-91.53823,snow; UIowa Main Library,Reformed Film Lab,3130 x 2075
f-22,Lomo 92-26.jpg,The Forbidden Water Slide,"The spillway I walk over and the bridge over it, all covered in snow",4,image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,Brody Butler,Nikon N90s,24mm,no,horizontal,1,exterior,2025-12,"Iowa City, IA; Hydroscience and Engineering Building; W Burlington St Bridge",41.65772,-91.54154,snow; river; bridge,Reformed Film Lab,3130 x 2075
f-23,Portra-6.jpg,You Should Take A Photo,A photo of me taken by my now boyfriend,7,image/jpeg,35mm,Kodak,Portra,400,color,Adán Reyes Salas,Nikon N90s,60mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; City Park",41.67629,-91.53717,Brody,Reformed Film Lab,3130 x 2075
f-24,Portra-12.jpg,Who Needs A Tripod When You Have Love (And A Bench),A self portrait of my now boyfriend and myself on the bank of the Iowa River,7,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,60mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; City Park",41.67667,-91.53661,boyfriend; brody; river; tree,Reformed Film Lab,3130 x 2075
f-25,Portra-14.jpg,We Should Take This Again When The Grass Grows Back,A photo of the shadow cast by my now boyfriend and I holding hands,7,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,60mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; City Park",41.67425,-91.53699,boyfriend; Brody; shadow,Reformed Film Lab,3130 x 2075
f-26,Portra-15.jpg,"Hey, That's Where We Are Right Now",My now boyfriend and the City Park sign near the playground and Riverside stage,7,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,60mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; City Park",41.67424,-91.53926,boyfriend; City Park sign,Reformed Film Lab,3130 x 2075
f-27,Portra-27.jpg,The One In Which The Autofocus Worked,Me and My now boyfriend together at a little park near where he lives.,7,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,60mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; Whispering Meadows Wetlands",41.63293,-91.49843,boyfriend; self-portrait; Brody,Reformed Film Lab,3130 x 2075
f-28,f-28.jpg,Is He Going To Play With Me Or What,Tyrion asleep on my couch being watched by Korra. One of the first shots I took in Iowa City.,2,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24-120mm,no,horizontal,1,interior,2025-11,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,cat; Korra; Tyrion,Reformed Film Lab,3130 x 2075
f-29,f-29.jpg,She's Working,The Mousetrap Stage Manager enduring me trying to test my camera out after a rehearsal.,2,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24-120mm,no,horizontal,1,interior,2025-11,"Iowa City, IA; Riverside Theatre",41.65882,-91.53381,friend; coworker; boss; The Mousetrap,Reformed Film Lab,3130 x 2075
f-30,f-30.jpg,To Boldly Underexpose,A shot of my limited lithograph of Captain Picard's ready room painting from Star Trek: TNG that I took to use up the roll of black and white film so I could get it developed as soon as possible. ,3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,horizontal,1,interior,2025-11,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,Star Trek; Enterprise; Lithograph,Reformed Film Lab,3130 x 2075
f-31,f-31.jpg,I Miss These People So Much,"One of many group photos I took of the Mousetrap cast (with permission!) to use for making cast gifts. I messed up terribly. These photos were supposed to come out like classic 50s film, but look more like 1800s spirit photography.",3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,horizontal,1,interior,2025-11,"Iowa City, IA; Riverside Theatre",41.65882,-91.53381,friend; The Mousetrap,Reformed Film Lab,3130 x 2075
f-32,f-32.jpg,Have You Ever Sprinted Up And Down A Spiral Staircase,The spiral staircase backstage at Riverside Theatre that connects the dressing rooms on the second floor to backstage on the third.,3,image/jpeg,35mm,Lomography,Berlin Kino,400,black and white,Brody Butler,Nikon N90s,24-120mm,no,vertical,1,interior,2025-11,"Iowa City, IA; Riverside Theatre",41.65882,-91.53381,The Mousetrap; Staircase,Reformed Film Lab,2075 x 3130
f-33,f-33.jpg,Ghostly Theatre Color Remake,"A night shot of Riverside, taken on a night the show was cancelled due to a blizzard. The exposure was three seconds long and I didn't have a tripod. So, It could have turned out worse.",4,image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,Brody Butler,Nikon N90s,24mm,no,vertical,1,exterior,2025-12,"Iowa City, IA; Pedestrian Mall; Riverside Theatre",41.65882,-91.53381,Riverside Theatre; The Mousetrap; snow,Reformed Film Lab,2075 x 3130
f-34,f-34.jpg,Bridge To Academia,The bridge connecting UIowa's lot 48 to campus covered in snow.,4,image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,Brody Butler,Nikon N90s,24mm,no,vertical,1,exterior,2025-12,"Iowa City, IA; UIowa Lot 48 Bridge",41.65541,-91.54352,snow; bridge; trees,Reformed Film Lab,2075 x 3130
f-35,f-35.jpg,View From The Bridge,A shot of a house through the trees taken from the bridge connecting UIowa lot 48 to campus.,4,image/jpeg,35mm,Lomography,Lomo '92 Sunkissed,400,color,Brody Butler,Nikon N90s,24mm,no,vertical,1,exterior,2025-12,"Iowa City, IA; UIowa Lot 48 Bridge",41.65541,-91.54352,snow; bridge; trees; house,Reformed Film Lab,2075 x 3130
f-36,f-36.jpg,Baby's First Double Exposure,"Not really my first exposure, but a rather goofy beginner one of my two cats on each side of the frame.",5,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,60mm,no,vertical,2,interior,2026-01,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,cat; Korra; Tyrion,Reformed Film Lab,2075 x 3130
f-37,f-37.jpg,The Old Life Visits,An attempt at a double exposure technique I saw online used on my mother when she visited,5,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,60mm,no,vertical,2,exterior,2026-01,"Iowa City, IA; UIowa Lot 48 Bridge",41.65541,-91.54352,snow; bridge; trees; mother,Reformed Film Lab,2075 x 3130
f-38,f-38.jpg,Room For Two,A view of how I am often imprisoned by two loving cats when home on my couch.,5,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24mm,no,horizontal,1,interior,2026-01,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,cat; Korra; Tyrion,Reformed Film Lab,3130 x 2075
f-39,f-39.jpg,"Oh Right, I Own A Speedlight",A selfie I took while messing with my camera to fill up a roll so I could send it off to develop.,5,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24mm,yes,horizontal,1,interior,2026-01,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,self-portrait; Brody,Reformed Film Lab,3130 x 2075
f-40,f-40.jpg,Red Car Through The Window Screen,"The view outside my balcony of UIowa Lot 48. I love the colors of the snow, greenery, and red car, and how the window screen almost makes it seem like it was painted on a canvas.",5,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24-120mm,no,horizontal,1,interior,2026-01,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,Uiowa Lot 48; trees; car; snow,Reformed Film Lab,3130 x 2075
f-41,f-41.jpg,Nightly Mustache Routine,"A self-portrait with the fake mustache I soaked, dried, and re-glued every night while working on Primary Trust at Riverside Theatre.",6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,Brody Butler,Nikon N90s,24mm,no,horizontal,1,interior,2026-03,"Iowa City, IA; Riverside Theatre; dressing rooms",41.65882,-91.53381,Primary Trust; mustache; self-portrait; Brody,Reformed Film Lab,3130 x 2075
f-42,f-42.jpg,It's Film So You'll Have To Keep The Camera Really Steady,"A uselessly blurred group photo of the Primary Trust cast and crew that a random dude took at my boss' behest. I hadn't really wanted this, but I'm bad at saying no.",6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,unknown,Nikon N90s,60mm,no,horizontal,1,interior,2026-03,"Iowa City, IA; Riverside Theatre",41.65882,-91.53381,friend; coworker; Primary Trust; cast; Brody; boss; Riverside Theatre,Reformed Film Lab,3130 x 2075
f-43,f-43.jpg,Home Away From Home,The props table at Riverside Theatre as it existed during Primary Trust.,6,image/jpeg,35mm,Fujifilm,All Occasions,400,color,unknown,Nikon N90s,24mm,no,horizontal,1,interior,2026-03,"Iowa City, IA; Riverside Theatre",41.65882,-91.53381,Primary Trust; Riverside Theatre; Props Table,Reformed Film Lab,3130 x 2075
f-44,f-44.jpg,He's Everything,A portrait of my now boyfriend in his apartment.,6,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,60mm,no,vertical,1,interior,2026-03,"Iowa City, IA; Boyfriend's Apartment",,,boyfriend,Reformed Film Lab,2075 x 3130
f-45,f-45.jpg,Stand In The Light Please,A high contrast portrait of my now boyfriend in his apartment.,7,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,60mm,no,vertical,1,interior,2026-03,"Iowa City, IA; Boyfriend's Apartment",,,boyfriend,Reformed Film Lab,2075 x 3130
f-46,f-46.jpg,The One In Which The Autofocus Did Not Work,A crisp photo of grass and trees. Two out of focus humans stand in the way.,7,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,60mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; Whispering Meadows Wetlands",41.63293,-91.49843,boyfriend; self-portrait; Brody; trees,Reformed Film Lab,3130 x 2075
f-47,f-47.jpg,"I Hate How I Look In This, But He's Beautiful",A selfie of my now boyfriend and I in my apartment. A Tonberry plush stands menacingly behind us with a knife.,7,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,24mm,no,horizontal,1,interior,2026-03,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,boyfriend; self-portrait; Brody,Reformed Film Lab,3130 x 2075
f-48,f-48.jpg,Her Domain,Korra in a Walmart reusable shopping bag.,7,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,60mm,no,horizontal,1,interior,2026-03,"Iowa City, IA; Brody's Apartment",41.65314,-91.54152,cat; Korra,Reformed Film Lab,3130 x 2075
f-49,f-49.jpg,I Used 25 Dollar Film On This,A random photo I took of Hancher Auditorium. I can not decide if I hate or love it.,7,image/jpeg,35mm,Kodak,Portra,400,color,Brody Butler,Nikon N90s,24mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; Hancher Auditorium",41.67027,-91.53587,Hancher Auditorium,Reformed Film Lab,3130 x 2075
f-50,f-50.jpg,You Should Take Another,A photo of me on the ground taken by my now boyfriend,7,image/jpeg,35mm,Kodak,Portra,400,color,Adán Reyes Salas,Nikon N90s,60mm,no,horizontal,1,exterior,2026-03,"Iowa City, IA; City Park",41.67629,-91.53717,Brody,Reformed Film Lab,3130 x 2075